data;ora;numestudent;prenumestudent;numeprofesor;prenumeprofesor;nota
'2016.26.06';'16.13.13';'Dawsey';'A L';'Ginsberg';'Ben';'5'
'2015.05.01';'05.28.04';'Gibbar';'Leann';'Tuggle';'Jack';'9'
'2017.24.05';'22.06.20';'Yamanaka';'Ted';'Thomas';'Tobby';'9'
'2015.24.03';'17.43.41';'Tanzar';'Jeffrey DC';'Stolmeier';'Vince';'10'
'2016.21.09';'21.01.44';'Hebert';'Ted';'Walter';'Ralph';'5'
'2015.09.07';'10.26.34';'Crispino';'Leonard';'Salvemini';'Dominick';'9'
'2014.05.11';'17.34.17';'Patel';'Manhar';'Wade';'Walt';'9'
'2016.09.09';'12.36.27';'Cometto';'Paolo';'Hakes';'Vicki';'8'
'2014.09.09';'05.53.33';'Esposito';'Kathy';'Brown';'Ted W OD';'5'
'2017.18.06';'00.17.11';'Aldana';'Jose';'Ruga';'Glenn';'9'
'2016.09.10';'03.58.14';'Farlow';'Ted';'Herston';'Robbie';'5'
'2014.28.08';'10.40.38';'Yim';'Tai';'Hodges';'Tony';'6'
'2015.21.09';'03.37.06';'Konefal';'Stan';'Udovich';'Dean';'9'
'2015.09.12';'15.39.56';'Simmods';'Tim';'Thaxton';'Paul';'7'
'2017.23.01';'04.53.34';'Hart';'David';'Kniefel';'Twila';'10'
'2015.24.08';'11.02.58';'Young';'Tammy';'Gassa';'Lewis';'7'
'2016.03.03';'13.54.11';'Cinar';'Kevin';'Anastas';'Vincent';'9'
'2016.27.10';'11.21.27';'Brown';'Larry';'Loeks';'Faye';'9'
'2014.03.03';'18.30.06';'Adams';'Robert';'Marcotte';'Ken';'6'
'2018.13.04';'10.54.11';'Robinson';'Matt';'Mcnaughton';'Jeffery';'4'
'2015.06.05';'02.02.44';'Stuckuy';'Richard';'Moore';'Kitty';'9'
'2016.24.03';'06.58.20';'Lee';'Yong';'Beaurgeard';'Edward';'5'
'2015.03.11';'19.17.00';'Raddatz';'Judy';'Ruark';'Keith';'4'
'2017.01.07';'11.22.31';'Smith';'Teresa';'Workman';'Bill';'5'
'2016.09.08';'09.29.27';'Mcdonald';'Thomas';'Ambagis';'William';'6'
'2016.19.01';'17.43.01';'Taylor';'Cliff';'Thaxton';'Paul';'5'
'2016.13.10';'09.45.12';'Patterson';'Traci';'Adams';'Van B';'10'
'2017.06.03';'15.08.56';'Marotta';'Thomas E';'Medley';'Michelle';'6'
'2015.05.02';'20.02.08';'Brodsky';'Robert DPM';'Short';'John';'5'
'2013.13.10';'13.30.01';'Lin';'Billy';'Holcombe';'Charles';'8'
'2014.09.12';'06.50.16';'Mccracken';'Mickey';'Ledbetter';'Tennie';'5'
'2018.04.02';'04.03.57';'Bega';'Rafael';'Kniefel';'Twila';'8'
'2014.04.03';'22.15.42';'Chu';'Mathis';'Workman';'Bill';'9'
'2015.03.11';'20.19.18';'Ghalambor';'Mort CPA';'Hults';'Bob';'7'
'2014.29.09';'04.10.59';'Lalani';'Dilshad';'Evperprises';'Bayram';'5'
'2016.18.06';'12.38.37';'Frizzell';'Craig';'Vanderholm';'Arnold';'5'
'2016.29.11';'00.23.45';'Mai';'Hao';'Evperprises';'Bayram';'5'
'2017.05.12';'14.58.15';'Kramer';'Jeff';'Terpstra';'Wayne';'10'
'2016.03.10';'07.46.16';'Garrett';'Ted';'Turnbull';'Porter DC';'10'
'2015.19.11';'23.08.37';'Treadway';'Linda';'Waggoner';'Wayne DC';'7'
'2018.15.03';'22.12.55';'Scheer';'Ted';'Vanderholm';'Arnold';'10'
'2015.23.01';'15.22.52';'Schoonever';'Steve';'Usina';'Ralph';'6'
'2017.30.04';'00.08.02';'Feretty';'Melinda';'Thomas';'Tobby';'7'
'2018.08.04';'14.18.37';'Lozano';'Billy';'Adams';'Van B';'8'
'2014.05.07';'19.59.40';'Levine-Gardner';'Geovanka';'Waller';'Ronnie';'6'
'2015.15.11';'15.45.10';'Hombach';'William';'Olson';'Liz';'9'
'2016.19.07';'08.17.14';'Taft';'John';'Sphaler';'Randy';'6'
'2013.31.08';'02.41.00';'Heuyen';'Liau';'Loeks';'Faye';'10'
'2016.08.11';'19.42.27';'Hysell';'David';'Sidy';'Victor';'6'
'2014.20.02';'05.49.04';'Kim';'Peter';'Hults';'Bob';'6'
'2017.02.12';'15.26.40';'Pedulla';'Theresa';'Vanderholm';'Arnold';'4'
'2013.25.11';'19.45.50';'Nguyen';'Grung';'Moore';'Kitty';'7'
'2018.24.02';'18.47.43';'Wheeler';'Rose';'Herston';'Robbie';'8'
'2017.24.12';'02.13.34';'Senger';'Terry';'Kho';'Judy';'7'
'2016.10.10';'09.05.44';'Kuhnhausen';'Brad';'Casby';'Maria';'8'
'2016.14.07';'08.32.26';'Frank';'William';'Moore';'Kitty';'10'
'2014.12.09';'03.08.49';'Tallent';'Doug';'Trotter';'Ralph';'7'
'2015.21.09';'04.56.20';'Epstein';'Marcy';'Dave';'Steven';'6'
'2016.22.06';'23.08.20';'Melton';'George';'Kempf';'Fred';'5'
'2013.23.06';'14.17.56';'Johnson';'T C';'Hodges';'Tony';'5'
'2013.02.09';'22.14.42';'Martin';'Amy';'Stolmeier';'Vince';'10'
'2015.10.03';'19.47.10';'Tannous';'J';'Dave';'Steven';'9'
'2013.19.12';'10.13.24';'Butler';'T A';'Ruga';'Glenn';'5'
'2013.05.12';'16.22.28';'Payne';'Griff';'Alvarez';'Mauricio A';'6'
'2013.09.05';'20.04.35';'Turner';'George';'Tucci';'Thomas';'5'
'2013.22.12';'21.15.53';'Allsup';'Tom';'Hakes';'Vicki';'10'
'2013.02.11';'06.52.52';'Williams';'Tommy L';'Evperprises';'Bayram';'10'
'2018.26.04';'03.13.29';'Morton';'Wes';'Walter';'Ralph';'7'
'2017.23.12';'15.25.21';'Argenbright';'Terry';'Thaxton';'Paul';'5'
'2016.28.10';'03.11.18';'Schake';'LA Donnna';'Mehsling';'Brad';'6'
'2017.14.06';'21.49.09';'Siddiqui';'Mohammed';'Thomas';'Tobby';'4'
'2017.22.01';'22.45.30';'Lanning';'Mark';'Sidy';'Victor';'8'
'2015.21.08';'13.53.31';'Neyrey';'Pamela';'Hawks';'Greg';'8'
'2018.25.01';'08.32.24';'Anderson';'Ted';'Ruga';'Glenn';'7'
'2017.27.04';'02.52.04';'Tong';'Choy Mang';'Ruga';'Glenn';'9'
'2015.15.05';'07.33.50';'Canchola';'Joree';'Schmitz';'Rich';'5'
'2016.27.07';'16.56.28';'Grimm';'Thomas';'Vogl';'Frank';'10'
'2016.21.02';'22.58.39';'Taylor';'Steve';'Stolmeier';'Vince';'9'
'2016.01.02';'16.17.26';'Bentley';'William';'Mehsling';'Brad';'8'
'2015.21.07';'00.54.07';'Terwelp';'Ralph';'Mcnaughton';'Jeffery';'4'
'2017.21.07';'02.04.00';'Reizes';'Haim';'Usina';'Ralph';'10'
'2013.22.07';'22.22.25';'Kaiser';'Tom';'Pinkston';'Lisa';'7'
'2016.05.07';'12.18.48';'Herzfeld';'Richard';'Mcnaughton';'Jeffery';'8'
'2013.05.07';'22.22.44';'Dabney';'Tommy';'Hashimi';'Shubyer';'9'
'2016.22.08';'15.28.35';'Takase';'Hayhiko';'Missimer';'Dennis';'5'
'2016.05.08';'00.11.50';'Doerr';'Stephanie';'Hamilton';'David';'7'
'2016.25.05';'01.21.57';'Marshall';'Bill';'Walton';'David';'5'
'2016.07.12';'02.17.32';'Rowrett';'Barry';'Pompili';'Vince';'9'
'2018.15.04';'05.38.33';'Thi';'NU';'Missimer';'Dennis';'9'
'2016.09.06';'17.38.07';'Roberts';'Vickie';'Missimer';'Dennis';'6'
'2015.13.07';'03.06.48';'Ilacqua';'Tony';'Hawks';'Greg';'4'
'2018.08.04';'17.40.56';'Rufad';'Botanjec';'Adams';'Van B';'9'
'2017.18.10';'00.49.17';'Donovan';'Terrence';'Mcnaughton';'Jeffery';'9'
'2015.23.09';'02.58.27';'Levy';'Moses';'Alvarez';'Mauricio A';'8'
'2013.30.06';'11.20.20';'Weiser';'Todd';'Vanderholm';'Arnold';'9'
'2017.21.09';'08.30.47';'Miller';'Paul';'Anastas';'Vincent';'6'
'2015.12.08';'13.52.44';'Thi';'NU';'Ambagis';'William';'7'
'2016.08.04';'08.03.19';'Deverts';'David';'Peterson';'Harry';'7'
'2018.08.04';'03.49.24';'Castillo';'Raul';'Nathan';'Larry';'6'
'2015.29.03';'19.15.25';'Houchens';'Toney A';'Olson';'Liz';'4'
'2015.03.02';'18.06.17';'Powell';'Imogene';'Holder';'Mary';'5'
'2014.04.10';'00.10.11';'Lindblad';'Doris';'Loeks';'Faye';'5'
'2014.18.11';'04.59.03';'Biuk';'Abdul';'Wakeley';'Gene';'7'
'2013.03.06';'19.10.45';'Baker';'Lorrie';'Vanderholm';'Arnold';'10'
'2016.26.02';'03.05.41';'Tannas';'Jr Lawrence E';'Custer';'Renee';'6'
'2014.11.01';'21.11.15';'Knox';'Joel';'Hults';'Bob';'9'
'2016.21.09';'18.06.43';'Gierse';'Ted';'Sims';'Michael';'7'
'2017.04.05';'03.02.53';'Rasheed';'Sherrie';'Dave';'Steven';'6'
'2016.09.12';'02.02.54';'Tefft';'Stewart';'Shumaker';'Janet';'9'
'2015.08.07';'06.04.20';'Tarpley';'Tommy';'Vanzzini';'Daniel';'6'
'2016.06.08';'05.57.23';'Rogers';'Sondra';'Olson';'Liz';'6'
'2016.16.01';'15.37.25';'Sharpe';'Taylor M';'Warren';'Tom';'8'
'2016.11.04';'19.14.27';'Floires';'J C';'Adams';'Van B';'6'
'2015.05.10';'11.49.34';'Croteau';'Joseph';'Smith';'Kern';'7'
'2017.10.10';'08.00.05';'Terry';'Clay';'Smith';'Kern';'7'
'2013.27.09';'20.09.16';'So';'Wayne';'Vanzzini';'Daniel';'6'
'2017.23.12';'06.25.53';'Wenger';'Terry';'Hashimi';'Shubyer';'4'
'2015.26.03';'12.31.05';'Keane';'Chesa';'Vitt';'Lance';'10'
'2017.25.05';'00.53.00';'Cavnaugh';'Joan';'Ruark';'Keith';'9'
'2014.10.06';'18.25.21';'Tantillo';'Philip CPA';'Jones';'Roylyn';'7'
'2015.09.12';'20.50.00';'Wyrock';'Jr Stephen';'Trimble';'David';'9'
'2014.18.01';'05.47.19';'Stewart';'Terry';'Adams';'Van B';'9'
'2013.01.10';'13.25.40';'Johnson';'T';'Porter';'Robert';'7'
'2016.29.02';'16.58.37';'Durlach';'David';'Vogl';'Frank';'7'
'2013.18.06';'04.37.02';'Cavooto';'Thomas';'Treese';'Marty';'5'
'2013.08.07';'13.10.16';'Warren';'Gary';'Custer';'Renee';'10'
'2014.10.04';'02.19.28';'Hensley';'Steve';'Thomas';'Tobby';'5'
'2013.25.05';'02.56.28';'Viegas';'Ted';'Marcotte';'Ken';'6'
'2018.31.01';'18.08.42';'Buchanan';'Rich';'Trotter';'Ralph';'10'
'2013.20.06';'15.15.13';'Leitzel';'Kathleen D';'Mcnaughton';'Jeffery';'6'
'2014.04.12';'23.30.01';'Coleman';'Gil';'Smith';'Willie';'10'
'2017.13.07';'19.19.19';'Reeves';'Teri';'Jones';'Roylyn';'7'
'2014.12.07';'16.17.49';'Cox';'Jena';'Hashimi';'Shubyer';'4'
'2017.02.03';'21.43.31';'Anderson';'Nancy B';'Shumaker';'Janet';'6'
'2017.15.08';'14.38.30';'Weiland';'Erick';'Gianelli';'Richard';'8'
'2016.02.02';'08.48.34';'Taylor';'William';'Ginsberg';'Ben';'6'
'2014.28.05';'18.36.05';'Taft';'Argustus';'Smith';'Willie';'10'
'2016.31.03';'14.56.35';'Michaud';'Dan';'Walton';'David';'9'
'2016.11.09';'03.05.22';'Barrow';'Thomas';'Keller';'Hymie';'9'
'2015.01.05';'06.59.07';'Chellis';'Wayne';'Vitt';'Lance';'7'
'2016.03.03';'11.14.16';'Clancey';'Patricia';'Walton';'David';'9'
'2016.15.01';'03.34.13';'Taylor';'Don';'Smith';'Kern';'5'
'2015.13.05';'15.58.48';'Zaragosa';'Jose';'Cook';'Steve';'9'
'2017.30.01';'11.29.29';'Orodeeca';'Hilario';'Powell';'Sherry';'6'
'2013.24.11';'05.33.12';'Tran';'Chu';'Anastas';'Vincent';'4'
'2018.27.01';'18.41.03';'Behrens';'Ted';'Stolmeier';'Vince';'8'
'2016.01.08';'16.23.38';'Lopez';'Jose';'Porter';'Robert';'4'
'2017.25.04';'23.11.35';'Gibson';'Greg';'Wade';'Walt';'9'
'2018.26.04';'04.17.47';'Telgenhoff';'Terry L CPA';'Tuggle';'Jack';'10'
'2014.19.11';'23.39.59';'Stevens';'Sharla';'Hardy';'Bonnie';'9'
'2013.23.05';'18.42.55';'Reedus';'Terrell';'Gassa';'Lewis';'10'
'2017.19.01';'18.19.19';'Carapucci';'Victor';'Thomas';'Tobby';'10'
'2016.26.03';'04.23.05';'Boyd';'David';'Salvemini';'Dominick';'10'
'2017.13.03';'16.32.27';'Smith';'Joe';'Maynes';'Eric';'5'
'2015.24.09';'18.43.04';'Tatum';'Jim';'Tucci';'Thomas';'10'
'2016.29.08';'20.18.35';'Tieche';'Bob';'Evperprises';'Bayram';'8'
'2016.11.07';'07.10.01';'Robbins';'Ray';'Shumaker';'Janet';'5'
'2014.15.01';'11.16.28';'Whitford';'Tim';'Nathan';'Larry';'6'
'2016.13.11';'00.03.43';'Heath';'Trevor';'Maynes';'Eric';'5'
'2015.05.07';'01.30.19';'Hober';'Terry';'Moore';'Kitty';'4'
'2015.23.01';'21.46.57';'Conbori';'Armando';'Verrier';'William';'5'
'2017.21.10';'01.52.23';'Brown';'Terry M';'Vitt';'Lance';'10'
'2017.13.09';'18.17.12';'Koch';'Terri';'Ambagis';'William';'5'
'2017.04.04';'05.29.16';'Bogdanski';'Tom A';'Hong';'Gil';'9'
'2014.06.10';'02.46.01';'Ramos';'Issy';'Loeks';'Faye';'7'
'2015.05.02';'09.00.29';'Chen';'Zvu Kai';'Walton';'David';'9'
'2014.03.04';'19.07.35';'Mack';'Ronnie';'Workman';'Bill';'4'
'2014.11.06';'09.27.24';'Pieri';'Andreas';'Loeks';'Faye';'9'
'2016.17.05';'13.07.56';'Murphy';'Jim';'Hawks';'Greg';'6'
'2016.02.05';'10.29.45';'Comer';'M';'Hakes';'Vicki';'5'
'2015.20.03';'21.47.58';'Temples';'Becky';'Hakes';'Vicki';'10'
'2014.22.07';'12.56.43';'Kubic';'Thomas';'Ambagis';'William';'8'
'2013.26.08';'13.45.28';'Alexander';'Tom';'Shumaker';'Janet';'5'
'2013.16.07';'08.07.05';'Bolton';'Terry';'Kho';'Judy';'10'
'2013.11.12';'02.42.48';'Rose';'Tim';'Ruark';'Keith';'9'
'2016.15.04';'07.10.26';'Whittaker';'Lee';'Hashimi';'Shubyer';'5'
'2014.19.01';'20.43.45';'Greer';'Tracy';'Loeks';'Faye';'6'
'2018.23.04';'04.17.00';'White';'Larry';'Ambagis';'William';'9'
'2013.23.11';'01.06.44';'Dinh';'IN';'Medley';'Michelle';'7'
'2016.29.09';'08.03.21';'O\'Brien';'Ladd';'Turnbull';'Porter DC';'8'
'2015.21.02';'13.29.09';'Alstrub';'Jeff';'Pompili';'Vince';'10'
'2017.07.08';'13.20.17';'Gitlin';'Bryan';'Walton';'David';'9'
'2016.03.11';'15.41.03';'Rasimowicz';'Mark';'Olson';'Liz';'6'
'2013.11.09';'02.43.50';'Mc';'Ginnis Jeff';'Nathan';'Larry';'10'
'2016.29.08';'15.40.04';'Mathis';'Sheryl';'Missimer';'Dennis';'4'
'2017.19.10';'13.42.18';'Rhodes';'Terry L';'Alvarez';'Mauricio A';'8'
'2018.23.04';'12.01.07';'Urias';'Lee';'Harrelson';'Ray';'7'
'2017.30.01';'11.51.44';'Baker';'Lorrie';'Evperprises';'Bayram';'8'
'2015.24.06';'18.35.57';'Taylor';'Ricky';'Vanderholm';'Arnold';'4'
'2017.09.05';'20.56.12';'Hill';'Tim';'Pinkston';'Lisa';'10'
'2018.20.02';'16.20.25';'Pinones';'Hector';'Kniefel';'Twila';'4'
'2014.08.06';'20.05.52';'Tahirovic';'Agron';'Schmitz';'Rich';'6'
'2014.05.08';'08.35.01';'Gee';'Wai';'Walter';'Ralph';'7'
'2016.14.02';'20.46.15';'Taylor';'Doug';'Smith';'Kern';'9'
'2016.27.05';'21.45.05';'Woodard';'John';'Keller';'Hymie';'7'
'2016.23.07';'23.34.23';'Anglin';'Ricky';'Waggoner';'Wayne DC';'7'
'2013.21.11';'00.45.31';'Gondor';'Norm';'Schmitz';'Rich';'9'
'2018.22.02';'06.08.53';'Hampton';'Valerie';'Evperprises';'Bayram';'10'
'2013.20.10';'15.02.09';'Mc';'Combs T L';'Santos';'Eldis';'10'
'2014.30.07';'21.25.03';'Morrison';'Niel';'Hults';'Bob';'10'
'2017.16.07';'12.08.17';'Dejos';'Chong';'Kho';'Judy';'6'
'2013.20.09';'13.00.22';'Talbot';'David';'Nathan';'Larry';'10'
'2017.08.04';'19.56.17';'Textor';'Jack';'Wakeley';'Gene';'9'
'2016.19.02';'12.51.27';'Taylor';'Elmira';'Smith';'Willie';'7'
'2017.24.10';'02.36.18';'Moore';'Terry';'Hawks';'Greg';'5'
'2016.10.12';'05.02.35';'Azevedo';'Ted';'Nathan';'Larry';'4'
'2017.04.03';'01.25.24';'Kady';'Scott';'Peterson';'Harry';'10'
'2016.22.11';'16.13.18';'Harris';'Sr Thelitic';'Hakes';'Vicki';'8'
'2016.25.05';'10.13.32';'Lovorn';'Robbie';'Santos';'Eldis';'10'
'2013.16.11';'05.59.45';'Prisco';'Tom';'Kempf';'Fred';'6'
'2017.24.05';'22.19.34';'Gross';'Robert L';'Pinkston';'Lisa';'8'
'2018.28.02';'12.27.08';'Schaper';'Leroy';'Morar';'Satish';'5'
'2014.16.06';'19.50.27';'Antles';'Dave';'Vogl';'Frank';'6'
'2014.30.06';'01.17.40';'Taylor';'Mickey';'Morar';'Satish';'6'
'2014.14.03';'08.12.22';'Potter';'John';'Nathan';'Larry';'9'
'2015.02.08';'00.10.13';'Butt';'Thomas';'Workman';'Bill';'6'
'2018.28.04';'19.38.18';'Wise';'Kathy';'Sphaler';'Randy';'10'
'2014.11.06';'04.37.09';'Peters';'Daniel';'Sidy';'Victor';'10'
'2016.04.04';'01.40.39';'Melvin';'Tom';'Hashimi';'Shubyer';'6'
'2014.04.10';'04.19.30';'Tamang';'Abel';'Tucci';'Thomas';'5'
'2017.25.07';'23.21.51';'Parks';'Jae';'Vanderholm';'Arnold';'6'
'2016.02.11';'21.32.09';'Lee';'Jung Hee';'Jones';'Roylyn';'5'
'2015.04.12';'08.23.05';'Blevins';'David';'Vanzzini';'Daniel';'10'
'2018.09.03';'06.22.10';'Lirette';'Ronald G';'Hults';'Bob';'6'
'2017.10.09';'22.11.49';'Moloney';'Terrence W CPA';'Usina';'Ralph';'4'
'2013.19.05';'15.51.39';'Markarian';'Tony';'Short';'John';'6'
'2017.10.11';'03.23.44';'Terry';'David';'Hong';'Gil';'5'
'2013.21.12';'13.47.57';'Lee';'Bong';'Wade';'Walt';'10'
'2014.26.07';'05.55.28';'Hines';'Linda';'Walton';'David';'7'
'2016.27.03';'20.26.59';'Garrett';'Tom';'Ruga';'Glenn';'5'
'2016.28.10';'19.46.52';'Lane';'Chris';'Maynes';'Eric';'9'
'2015.22.09';'07.55.52';'Lum';'Dave';'Nathan';'Larry';'8'
'2016.01.03';'00.10.00';'Taylored';'Blaine';'Thomas';'Tobby';'5'
'2013.01.08';'00.27.07';'Taningco';'Manuel';'Wade';'Walt';'9'
'2016.07.04';'07.26.38';'Simmods';'Tim';'Medley';'Michelle';'9'
'2016.24.12';'01.03.18';'Perales';'Ruben';'Walter';'Ralph';'4'
'2016.26.05';'13.28.33';'Crostini';'James V';'Casby';'Maria';'6'
'2017.30.09';'03.45.37';'Terry';'William';'Kniefel';'Twila';'8'
'2013.14.12';'19.44.12';'Monteiro';'Jr Ted';'Trusty';'Arnold';'7'
'2014.14.10';'05.06.52';'Owen';'Brett';'Terpstra';'Wayne';'9'
'2016.27.07';'13.06.45';'Bahr';'Micah';'Brown';'Ted W OD';'9'
'2015.19.11';'10.28.23';'Blanton';'Juanita';'Ambagis';'William';'6'
'2014.23.06';'20.54.42';'Sikes';'Tammy';'Dave';'Steven';'10'
'2018.28.02';'00.53.07';'Plagans';'Earl';'Siler';'Chuck';'6'
'2015.25.11';'23.23.28';'Abukatap';'Abdul';'Thaxton';'Paul';'6'
'2013.21.08';'17.50.58';'Scot';'Ted';'Ruark';'Keith';'6'
'2017.09.01';'17.55.40';'Coleman';'Roger';'Moore';'Kitty';'5'
'2016.15.03';'10.48.50';'Foley';'Dill';'Vitt';'Lance';'5'
'2015.11.04';'00.50.26';'Petrarca';'Timothy';'Aanestad';'Darrell';'5'
'2013.25.10';'22.04.36';'Kelley';'Marty';'Smith';'Kern';'5'
'2016.12.03';'03.48.38';'Blafena';'Jerry';'Brown';'Ted W OD';'8'
'2013.23.10';'06.06.01';'Wei';'Tammy';'Anastas';'Vincent';'4'
'2014.08.08';'13.26.37';'Ashburn';'Melinda';'Marcotte';'Ken';'5'
'2014.03.10';'11.02.42';'Taningco';'Manuel';'Verrier';'William';'5'
'2015.25.01';'03.40.13';'Snedden';'Wendy';'Evperprises';'Bayram';'9'
'2015.25.05';'09.51.21';'Robinson';'Tom';'Mehsling';'Brad';'6'
'2017.05.05';'18.53.10';'Kwun';'Yung';'Olson';'Liz';'4'
'2015.17.08';'08.31.44';'Bawa';'Upender';'Trusty';'Arnold';'10'
'2014.13.11';'02.58.22';'Nugent';'Pedro B';'Hong';'Gil';'5'
'2013.11.08';'20.03.16';'Tauper';'Joseph';'Gianelli';'Richard';'10'
'2017.01.01';'03.04.37';'Penix';'George';'Brown';'Ted W OD';'7'
'2017.22.01';'06.50.15';'Heaton';'Jim';'Walton';'David';'5'
'2017.12.06';'19.11.47';'Jenkins';'II Charles';'Tuggle';'Jack';'4'
'2016.09.09';'08.04.18';'Ahn';'Scott';'Waller';'Ronnie';'9'
'2014.20.11';'21.56.57';'Demes';'Tom';'Nicolas';'Marie';'8'
'2018.16.02';'06.59.17';'Boman';'Larry';'Alvarez';'Mauricio A';'10'
'2017.07.03';'13.05.54';'Brill';'Russell';'Ruark';'Keith';'4'
'2015.03.07';'13.19.30';'Tomlinson';'Margi';'Keller';'Hymie';'5'
'2017.18.11';'20.36.15';'Quirk';'Jeannie';'Turnbull';'Porter DC';'10'
'2017.15.07';'22.19.35';'Haynie';'Terry';'Moore';'Kitty';'5'
'2017.05.03';'08.41.32';'Teluk';'Myron J';'Moore';'Kitty';'9'
'2014.14.03';'14.17.44';'Sarles';'Jack';'Thaxton';'Paul';'6'
'2017.08.02';'03.20.22';'Eckheart';'Kyle';'Morrow';'Duncan';'6'
'2017.17.04';'03.13.53';'Kraemer';'Leland';'Sims';'Michael';'10'
'2015.30.11';'07.38.50';'Herman';'Louis';'Powell';'Sherry';'7'
'2014.23.03';'07.11.27';'Curl';'Song';'Kho';'Judy';'10'
'2017.30.04';'00.42.08';'Donn';'David';'Gianelli';'Richard';'5'
'2017.29.01';'22.58.04';'Tekavec';'Janet';'Hodges';'Tony';'5'
'2015.01.01';'20.36.45';'Teter';'Rob';'Missimer';'Dennis';'7'
'2015.24.12';'05.13.52';'Massey';'Sue';'Kniefel';'Twila';'6'
'2017.02.10';'01.34.12';'Bryn';'Terry';'Hashimi';'Shubyer';'9'
'2016.24.10';'11.51.45';'Tilton';'Chris';'Custer';'Renee';'8'
'2014.16.04';'07.35.54';'Buscamante';'Teresa';'Hakes';'Vicki';'7'
'2016.05.07';'17.57.52';'Veeder';'Earl';'Holcombe';'Charles';'7'
'2018.26.02';'00.03.01';'Tap';'Truong';'Evperprises';'Bayram';'5'
'2018.17.03';'09.39.26';'Buchanan';'L B';'Dave';'Steven';'5'
'2013.01.11';'20.07.13';'Lasher';'Todd';'Ambagis';'William';'4'
'2014.18.03';'01.54.18';'Taber';'Thomas';'Stolmeier';'Vince';'8'
'2016.18.09';'08.52.27';'Cox';'Ted';'Walter';'Ralph';'10'
'2013.29.09';'06.41.33';'Howard';'Tim';'Peterson';'Harry';'8'
'2017.05.09';'16.26.15';'Bowlin';'Sr Terrel';'Morrow';'Duncan';'7'
'2017.21.01';'12.21.41';'Quintero';'Consuelo';'Hodges';'Tony';'5'
'2015.07.11';'19.33.40';'Carr';'Bruce';'Stolmeier';'Vince';'8'
'2017.29.01';'11.41.34';'Soloman';'Simon';'Marcotte';'Ken';'7'
'2015.15.06';'19.35.49';'Tardy';'Joshua';'Nathan';'Larry';'10'
'2018.08.02';'08.37.28';'Lane';'Chris';'Walton';'David';'6'
